table,seq,column,is_pk,is_fk,type,i1,i2,i3,i4,i5,i6,ui1,default,width,description,id
geofile,1,geofile_id,1,,INTEGER64,,,,,,,,,,,c00d01001
geofile,2,fileid,,,TEXT,,,,,,,1,-,6,,c00d01002
geofile,3,stusab,,,TEXT,,,,,1,1,1,-,2,,c00d01003
geofile,4,sumlev,,,INTEGER,1,,,,,,,-1,3,,c00d01004
geofile,5,geocomp,,,TEXT,,,,,,1,,-,2,,c00d01005
geofile,6,chariter,,,INTEGER,,,,,,,,-1,3,,c00d01006
geofile,7,cifsn,,,INTEGER,,,,,,,,-1,2,,c00d01007
geofile,8,logrecno,,,INTEGER,,,,,,,1,-1,7,,c00d01008
geofile,9,region,,,INTEGER,,,,,,,,-1,1,,c00d01009
geofile,10,division,,,INTEGER,,,,,,,,-1,1,,c00d0100a
geofile,11,state,,,INTEGER,,1,,,,,,-1,2,,c00d0100b
geofile,12,county,,,INTEGER,,,1,,,,,-1,3,,c00d0100c
geofile,13,countycc,,,TEXT,,,,,,,,-,2,,c00d0100d
geofile,14,countysc,,,INTEGER,,,,,,,,-1,2,,c00d0100e
geofile,15,cousub,,,INTEGER,,,,,,,,-1,5,,c00d0100f
geofile,16,cousubcc,,,TEXT,,,,,,,,-,2,,c00d0100g
geofile,17,cousubsc,,,INTEGER,,,,,,,,-1,2,,c00d0100h
geofile,18,place,,,INTEGER,,,,,,,,-1,5,,c00d0100i
geofile,19,placecc,,,TEXT,,,,,,,,-,2,,c00d0100j
geofile,20,placesc,,,INTEGER,,,,,,,,-1,2,,c00d0100k
geofile,21,tract,,,INTEGER,,,,1,,,,-1,6,,c00d0100l
geofile,22,blkgrp,,,INTEGER,,,,1,,,,-1,1,,c00d0100m
geofile,23,block,,,INTEGER,,,,1,,,,-1,4,,c00d0100n
geofile,24,iuc,,,INTEGER,,,,,,,,-1,2,,c00d0100o
geofile,25,concit,,,INTEGER,,,,,,,,-1,5,,c00d0100p
geofile,26,concitcc,,,TEXT,,,,,,,,-1,2,,c00d0100q
geofile,27,concitsc,,,INTEGER,,,,,,,,-1,2,,c00d0100r
geofile,28,aianhh,,,INTEGER,,,,,,,,-1,4,,c00d0100s
geofile,29,aianhhfp,,,INTEGER,,,,,,,,-1,5,,c00d0100t
geofile,30,aianhhcc,,,TEXT,,,,,,,,-,2,,c00d0100u
geofile,31,aihhtli,,,TEXT,,,,,,,,-,1,,c00d0100v
geofile,32,aitsce,,,INTEGER,,,,,,,,-1,3,,c00d0100w
geofile,33,aits,,,INTEGER,,,,,,,,-1,5,,c00d0100x
geofile,34,aitscc,,,TEXT,,,,,,,,-1,2,,c00d0100y
geofile,35,ttract,,,TEXT,,,,,,,,-,6,,c00d0100z
geofile,36,tblkgrp,,,TEXT,,,,,,,,-,1,,c00d0100A
geofile,37,anrc,,,INTEGER,,,,,,,,-1,5,,c00d0100B
geofile,38,anrccc,,,TEXT,,,,,,,,-1,2,,c00d0100C
geofile,39,cbsa,,,INTEGER,,,,,,,,-1,5,,c00d0100D
geofile,40,cbsasc,,,INTEGER,,,,,,,,-1,2,,c00d0100E
geofile,41,metdiv,,,INTEGER,,,,,,,,-1,5,,c00d0100F
geofile,42,csa,,,INTEGER,,,,,,,,-1,3,,c00d0100G
geofile,43,necta,,,INTEGER,,,,,,,,-1,5,,c00d0100H
geofile,44,nectasc,,,INTEGER,,,,,,,,-1,2,,c00d0100I
geofile,45,nectadiv,,,INTEGER,,,,,,,,-1,5,,c00d0100J
geofile,46,cnecta,,,INTEGER,,,,,,,,-1,3,,c00d0100K
geofile,47,cbsapci,,,TEXT,,,,,,,,-,1,,c00d0100L
geofile,48,nectapci,,,TEXT,,,,,,,,-,1,,c00d0100M
geofile,49,ua,,,INTEGER,,,,,,,,-1,5,,c00d0100N
geofile,50,uasc,,,INTEGER,,,,,,,,-1,2,,c00d0100O
geofile,51,uatype,,,INTEGER,,,,,,,,-1,1,,c00d0100P
geofile,52,ur,,,INTEGER,,,,,,,,-1,1,,c00d0100Q
geofile,53,cd,,,INTEGER,,,,,,,,-1,2,,c00d0100R
geofile,54,sldu,,,TEXT,,,,,,,,-1,3,,c00d0100S
geofile,55,sldl,,,TEXT,,,,,,,,-1,3,,c00d0100T
geofile,56,vtd,,,TEXT,,,,,,,,-1,6,,c00d0100U
geofile,57,vtdi,,,TEXT,,,,,,,,-,1,,c00d0100V
geofile,58,reserve2,,,INTEGER,,,,,,,,-1,3,,c00d0100W
geofile,59,zcta5,,,INTEGER,,,,,,,,-1,5,,c00d0100X
geofile,60,submcd,,,INTEGER,,,,,,,,-1,5,,c00d0100Y
geofile,61,submcdcc,,,TEXT,,,,,,,,-1,2,,c00d0100Z
geofile,62,sdelem,,,INTEGER,,,,,,,,-1,5,,c00d01010
geofile,63,sdsec,,,INTEGER,,,,,,,,-1,5,,c00d01011
geofile,64,sduni,,,INTEGER,,,,,,,,-1,5,,c00d01012
geofile,65,arealand,,,INTEGER64,,,,,,,,-1,14,,c00d01013
geofile,66,areawatr,,,INTEGER64,,,,,,,,-1,14,,c00d01014
geofile,67,name,,,TEXT,,,,,,,,-,90,,c00d01015
geofile,68,funcstat,,,TEXT,,,,,,,,-,1,,c00d01016
geofile,69,gcuni,,,TEXT,,,,,,,,-,1,,c00d01017
geofile,70,pop100,,,INTEGER,,,,,,,,-1,9,,c00d01018
geofile,71,hu100,,,INTEGER,,,,,,,,-1,9,,c00d01019
geofile,72,intptlat,,,REAL,,,,,,,,0,11,,c00d0101a
geofile,73,intptlon,,,REAL,,,,,,,,0,12,,c00d0101b
geofile,74,lsadc,,,TEXT,,,,,,,,-,2,,c00d0101c
geofile,75,partflag,,,TEXT,,,,,,,,-,1,,c00d0101d
geofile,76,reserve3,,,INTEGER,,,,,,,,-1,6,,c00d0101e
geofile,77,uga,,,INTEGER,,,,,,,,-1,5,,c00d0101f
geofile,78,statens,,,INTEGER,,,,,,,,-1,8,,c00d0101g
geofile,79,countyns,,,INTEGER,,,,,,,,-1,8,,c00d0101h
geofile,80,cousubns,,,INTEGER,,,,,,,,-1,8,,c00d0101i
geofile,81,placens,,,INTEGER,,,,,,,,-1,8,,c00d0101j
geofile,82,concitns,,,INTEGER,,,,,,,,-1,8,,c00d0101k
geofile,83,aianhhns,,,INTEGER,,,,,,,,-1,8,,c00d0101l
geofile,84,aitsns,,,INTEGER,,,,,,,,-1,8,,c00d0101m
geofile,85,anrcns,,,INTEGER,,,,,,,,-1,8,,c00d0101n
geofile,86,submcdns,,,INTEGER,,,,,,,,-1,8,,c00d0101o
geofile,87,cd113,,,INTEGER,,,,,,,,-1,2,,c00d0101p
geofile,88,cd114,,,INTEGER,,,,,,,,-1,2,,c00d0101q
geofile,89,cd115,,,INTEGER,,,,,,,,-1,2,,c00d0101r
geofile,90,sldu2,,,TEXT,,,,,,,,-1,3,,c00d0101s
geofile,91,sldu3,,,TEXT,,,,,,,,-1,3,,c00d0101t
geofile,92,sldu4,,,TEXT,,,,,,,,-1,3,,c00d0101u
geofile,93,sldl2,,,TEXT,,,,,,,,-1,3,,c00d0101v
geofile,94,sldl3,,,TEXT,,,,,,,,-1,3,,c00d0101w
geofile,95,sldl4,,,TEXT,,,,,,,,-1,3,,c00d0101x
geofile,96,aianhhsc,,,INTEGER,,,,,,,,-1,2,,c00d0101y
geofile,97,csasc,,,INTEGER,,,,,,,,-1,2,,c00d0101z
geofile,98,cnectasc,,,INTEGER,,,,,,,,-1,2,,c00d0101A
geofile,99,memi,,,INTEGER,,,,,,,,-1,1,,c00d0101B
geofile,100,nmemi,,,INTEGER,,,,,,,,-1,1,,c00d0101C
geofile,101,puma,,,INTEGER,,,,,,,,-1,5,,c00d0101D
geofile,102,reserved,,,INTEGER,,,,,,,,-1,18,,c00d0101E
