table,source,dest
2013-1-shell,line_number,line
2013-3-shell,line_number,line
2013-5-shell,line_number,line
2009-3-sequence,file_id,fileid
2009-5-sequence,file_id,fileid
2010-1-sequence,file_id,fileid
2010-3-sequence,file_id,fileid
2010-5-sequence,file_id,fileid
2012-1-sequence,file_id,fileid
2012-3-sequence,file_id,fileid
2012-5-sequence,file_id,fileid
2013-1-sequence,file_id,fileid
2013-3-sequence,file_id,fileid
2013-5-sequence,file_id,fileid
2011-1-sequence,seq,sequence_number
2011-3-sequence,seq,sequence_number
2011-5-sequence,seq,sequence_number
2011-1-sequence,position,start_position
2011-3-sequence,position,start_position
2011-5-sequence,position,start_position
2011-1-sequence,cells,total_cells_in_table
2011-3-sequence,cells,total_cells_in_table
2011-5-sequence,cells,total_cells_in_table
2011-1-sequence,total,total_cells_in_sequence
2011-3-sequence,total,total_cells_in_sequence
2011-5-sequence,total,total_cells_in_sequence
2011-1-sequence,long_table_title,table_title
2011-3-sequence,long_table_title,table_title
2011-5-sequence,long_table_title,table_title
2011-1-sequence,line_number_decimal_m_lines,line_number
2011-3-sequence,line_number_decimal_m_lines,line_number
2011-5-sequence,line_number_decimal_m_lines,line_number
