"sumlevel","component",,"name","file_set"
10,0,,"United States","US"
10,1,,"United States; Urban","US"
10,43,,"United States; Rural","US"
10,89,,"United States; American Indian Reservation and Trust Land-Federal","US"
10,90,,"United States; American Indian Reservation and Trust Land-State","US"
10,91,,"United States; Oklahoma Tribal Statistical Area","US"
10,92,,"United States; Tribal Designated Statistical Area","US"
10,93,,"United States; Alaska Native Village Statistical Area","US"
10,94,,"United States; State Designated Tribal Statistical Area (Formerly SDAISA)","US"
10,95,,"United States; Hawaiian Home Land","US"
10,"A0",,"United States; In Metropolitan or Micropolitan Statistical Area","US"
10,"C0",,"United States; In Metropolitan Statistical Area","US"
10,"C1",,"United States; In Metropolitan Statistical Area-In Principal City","US"
10,"C2",,"United States; In Metropolitan Statistical Area-Not In Principal City","US"
10,"E0",,"United States; In Micropolitan Statistical Area","US"
10,"E1",,"United States; In Micropolitan Statistical Area-In Principal City","US"
10,"E2",,"United States; In Micropolitan Statistical Area-Not In Principal City","US"
10,"G0",,"United States; Not In Metropolitan or Micropolitan Statistical Area","US"
10,"H0",,"United States; Not In Metropolitan Statistical Area","US"
20,0,,"Region","US"
20,1,,"Region; Urban","US"
20,43,,"Region; Rural","US"
20,"A0",,"Region; In Metropolitan or Micropolitan Statistical Area","US"
20,"C0",,"Region; In Metropolitan Statistical Area","US"
20,"C1",,"Region; In Metropolitan Statistical Area-In Principal City","US"
20,"C2",,"Region; In Metropolitan Statistical Area-Not In Principal City","US"
20,"E0",,"Region; In Micropolitan Statistical Area","US"
20,"E1",,"Region; In Micropolitan Statistical Area-In Principal City","US"
20,"E2",,"Region; In Micropolitan Statistical Area-Not In Principal City","US"
20,"G0",,"Region; Not In Metropolitan or Micropolitan Statistical Area","US"
20,"H0",,"Region; Not In Metropolitan Statistical Area","US"
30,0,,"Division","US"
30,1,,"Division; Urban","US"
30,43,,"Division; Rural","US"
30,"A0",,"Division; In Metropolitan or Micropolitan Statistical Area","US"
30,"C0",,"Division; In Metropolitan Statistical Area","US"
30,"C1",,"Division; In Metropolitan Statistical Area-In Principal City","US"
30,"C2",,"Division; In Metropolitan Statistical Area-Not In Principal City","US"
30,"E0",,"Division; In Micropolitan Statistical Area","US"
30,"E1",,"Division; In Micropolitan Statistical Area-In Principal City","US"
30,"E2",,"Division; In Micropolitan Statistical Area-Not In Principal City","US"
30,"G0",,"Division; Not In Metropolitan or Micropolitan Statistical Area","US"
30,"H0",,"Division; Not In Metropolitan Statistical Area","US"
40,0,,"State","State"
40,1,,"State; Urban","State"
40,43,,"State; Rural","State"
40,"A0",,"State; In Metropolitan or Micropolitan Statistical Area","State"
40,"C0",,"State; In Metropolitan Statistical Area","State"
40,"C1",,"State; In Metropolitan Statistical Area-In Principal City","State"
40,"C2",,"State; In Metropolitan Statistical Area-Not In Principal City","State"
40,"E0",,"State; In Micropolitan Statistical Area","State"
40,"E1",,"State; In Micropolitan Statistical Area-In Principal City","State"
40,"E2",,"State; In Micropolitan Statistical Area-Not In Principal City","State"
40,"G0",,"State; Not In Metropolitan or Micropolitan Statistical Area","State"
40,"H0",,"State; Not In Metropolitan Statistical Area","State"
50,0,,"State-County","State"
60,0,,"State-County-County Subdivision","State"
67,0,,"State-County-County Subdivision-Subminor Civil Division","State"
70,0,,"State-County-County Subdivision-Place/Remainder","State"
140,0,,"State-County-Census Tract","State"
150,0,,"State-County-Census Tract-Block Group","State"
155,0,,"State-Place-County","State"
160,0,,"State-Place","State"
170,0,,"State-Consolidated City","State"
172,0,,"State-Consolidated City-Place Within Consolidated City","State"
230,0,,"State-Alaska Native Regional Corporation","State"
250,0,,"American Indian Area/Alaska Native Area/Hawaiian Home Land","US"
251,0,,"American Indian Area-Tribal Subdivision/Remainder","US"
252,0,,"American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)","US"
254,0,,"American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land","US"
256,0,,"American Indian Area-Tribal Census Tract","US"
258,0,,"American Indian Area-Tribal Census Tract-Tribal Block Group","US"
260,0,,"American Indian Area/Alaska Native Area/Hawaiian Home Land-State","State"
269,0,,"American Indian Area/Alaska Native Area/Hawaiian Home Land-State-Place/Remainder","State"
270,0,,"American Indian Area/Alaska Native Area/Hawaiian Home Land-State-County","State"
280,0,,"State-American Indian Area/Alaska Native Area/Hawaiian Home Land","State"
283,0,,"State-American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only)","State"
286,0,,"State-American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land","State"
290,0,,"American Indian Area-Tribal Subdivision/Remainder-State","State"
291,0,,"American Indian Area (Reservation Only)-Tribal Census Tract","US"
292,0,,"American Indian Area (Off-Reservation Trust Land Only)-Tribal Census Tract","US"
293,0,,"American Indian Area (Reservation Only)-Tribal Census Tract-Tribal Block Group","US"
294,0,,"American Indian Area (Off-Reservation Trust Land Only)-Tribal Census Tract-Tribal Block Group","US"
310,0,,"Metropolitan Statistical Area/Micropolitan Statistical Area","US"
311,0,,"Metropolitan Statistical Area/Micropolitan Statistical Area-State","State"
312,0,,"Metropolitan Statistical Area/Micropolitan Statistical Area-State-Principal City","State"
313,0,,"Metropolitan Statistical Area/Micropolitan Statistical Area-State-County","State"
314,0,,"Metropolitan Statistical Area-Metropolitan Division","US"
315,0,,"Metropolitan Statistical Area-Metropolitan Division-State","State"
316,0,,"Metropolitan Statistical Area-Metropolitan Division-State-County","State"
320,0,,"State-Metropolitan Statistical Area/Micropolitan Statistical Area","State"
321,0,,"State-Metropolitan Statistical Area/Micropolitan Statistical Area-Principal City","State"
322,0,,"State-Metropolitan Statistical Area/Micropolitan Statistical Area-County","State"
323,0,,"State-Metropolitan Statistical Area-Metropolitan Division","State"
324,0,,"State-Metropolitan Statistical Area-Metropolitan Division-County","State"
330,0,,"Combined Statistical Area","US"
331,0,,"Combined Statistical Area-State","State"
332,0,,"Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area","US"
333,0,,"Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area-State","State"
335,0,,"Combined New England City and Town Area","US"
336,0,,"Combined New England City and Town Area-State","State"
337,0,,"Combined New England City and Town Area-New England City and Town Area","US"
338,0,,"Combined New England City and Town Area-New England City and Town Area-State","State"
340,0,,"State-Combined Statistical Area","State"
341,0,,"State-Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area","State"
345,0,,"State-Combined New England City and Town Area","State"
346,0,,"State-Combined New England City and Town Area-New England City and Town Area","State"
350,0,,"New England City and Town Area","US"
351,0,,"New England City and Town Area-State","State"
352,0,,"New England City and Town Area-State-Principal City","State"
353,0,,"New England City and Town Area-State-County","State"
354,0,,"New England City and Town Area-State-County-County Subdivision","State"
355,0,,"New England City and Town Area (NECTA)-NECTA Division","US"
356,0,,"New England City and Town Area (NECTA)-NECTA Division-State","State"
357,0,,"New England City and Town Area (NECTA)-NECTA Division-State-County","State"
358,0,,"New England City and Town Area (NECTA)-NECTA Division-State-County-County Subdivision","State"
360,0,,"State-New England City and Town Area","State"
361,0,,"State-New England City and Town Area-Principal City","State"
362,0,,"State-New England City and Town Area-County","State"
363,0,,"State-New England City and Town Area-County-County Subdivision","State"
364,0,,"State-New England City and Town Area (NECTA)-NECTA Division","State"
365,0,,"State-New England City and Town Area (NECTA)-NECTA Division-County","State"
366,0,,"State-New England City and Town Area (NECTA)-NECTA Division-County-County Subdivision","State"
400,0,,"Urban Area","US"
410,0,,"Urban Area-State","State"
430,0,,"Urban Area-State-County","State"
500,0,,"State-Congressional District","State"
510,0,,"State-Congressional District-County","State"
550,0,,"State-Congressional District-American Indian Area/Alaska Native Area/Hawaiian Home Land","State"
610,0,,"State-State Legislative District (Upper Chamber)","State"
612,0,,"State-State Legislative District (Upper Chamber)-County","State"
620,0,,"State-State Legislative District (Lower Chamber)","State"
622,0,,"State-State Legislative District (Lower Chamber)-County","State"
795,0,,"State-Public Use Microdata Sample Area (PUMA)","State"
860,0,,"5-Digit ZIP Code Tabulation Area","US"
950,0,,"State-School District (Elementary)/Remainder","State"
960,0,,"State-School District (Secondary)/Remainder","State"
970,0,,"State-School District (Unified)/Remainder","State"
